Round64,Round32,Round16,Round8,Round4,Round2,Round1
Kansas,Kansas,Kansas,Kansas,Oregon,Gonzaga,North Carolina
UC Davis,Mich. St.,Purdue,Oregon,Gonzaga,North Carolina,
Miami (Fla.),Iowa State,Oregon,Gonzaga,South Carolina,,
Mich. St.,Purdue,Michigan,Xavier,North Carolina,,
Iowa State,Rhode Island,Gonzaga,Florida,,,
Nevada,Oregon,West Virginia,South Carolina,,,
Purdue,Michigan,Xavier,North Carolina,,,
Vermont,Louisville,Arizona,Kentucky,,,
Greighton,Gonzaga,Wisconsin,,,,
Rhode Island,Northwestern,Florida,,,,
Oregon,Notre Dame,Baylor,,,,
Iona,West Virginia,South Carolina,,,,
Michigan,Xavier,North Carolina,,,,
Oklahoma State,Florida State,Butler,,,,
Louisville,St. Mary's (Cal.),UCLA,,,,
Jacksonville St.,Arizona,Kentucky,,,,
Gonzaga,Villanova,,,,,
South Dakota St.,Wisconsin,,,,,
Northwestern,Virginia,,,,,
Vanderbilt,Florida  ,,,,,
Notre Dame,USC,,,,,
Princeton,Baylor,,,,,
West Virginia,South Carolina,,,,,
Bucknell,Duke,,,,,
Maryland,North Carolina,,,,,
Xavier,Arkansas,,,,,
Florida State,Middle Tenn.,,,,,
FGCU,Butler,,,,,
St. Mary's (Cal.),Cincinnati,,,,,
VCU,UCLA,,,,,
Arizona,Wichita State,,,,,
North Dakota,Kentucky,,,,,
Villanova,,,,,,
Mt. St. Mary's,,,,,,
Wisconsin,,,,,,
Virginia Tech,,,,,,
Virginia,,,,,,
UNCW,,,,,,
Florida,,,,,,
East Tenn. St.,,,,,,
SMU,,,,,,
USC,,,,,,
Baylor,,,,,,
New Mexico St.,,,,,,
South Carolina,,,,,,
Marquette,,,,,,
Duke,,,,,,
Troy,,,,,,
North Carolina,,,,,,
Texas Southern,,,,,,
Arkansas,,,,,,
Seton Hall,,,,,,
Minnesota,,,,,,
Middle Tenn.,,,,,,
Butler,,,,,,
Winthrop,,,,,,
Cincinnati,,,,,,
Kansas St.,,,,,,
UCLA,,,,,,
Kent State,,,,,,
Dayton,,,,,,
Whichita State,,,,,,
Kentucky,,,,,,
Northern Kentucky,,,,,,
